Site,lon,lat,Species,AVCover
BP01,172.8235942,-43.6042051,C. flexuosum,0
BP01,172.8235942,-43.6042051,C. maschalocarpum,0.59
BP01,172.8235942,-43.6042051,E. radiata,18.42
BP01,172.8235942,-43.6042051,M. pyrifera,3.85
BP01,172.8235942,-43.6042051,U. pinnatifida,0.61
BP02,172.8556457,-43.603089,C. flexuosum,0.02
BP02,172.8556457,-43.603089,C. maschalocarpum,0.63
BP02,172.8556457,-43.603089,E. radiata,6.38
BP02,172.8556457,-43.603089,M. pyrifera,0.19
BP02,172.8556457,-43.603089,U. pinnatifida,0.14
BP03,172.8765415,-43.608227,C. flexuosum,0
BP03,172.8765415,-43.608227,C. maschalocarpum,8.63
BP03,172.8765415,-43.608227,E. radiata,54.38
BP03,172.8765415,-43.608227,M. pyrifera,0.13
BP03,172.8765415,-43.608227,U. pinnatifida,0
BP05,172.9110059,-43.6229797,C. flexuosum,0.07
BP05,172.9110059,-43.6229797,C. maschalocarpum,3.79
BP05,172.9110059,-43.6229797,E. radiata,6.3
BP05,172.9110059,-43.6229797,M. pyrifera,1.29
BP05,172.9110059,-43.6229797,U. pinnatifida,0.58
BP06,172.9315383,-43.6225947,C. flexuosum,0
BP06,172.9315383,-43.6225947,C. maschalocarpum,0
BP06,172.9315383,-43.6225947,E. radiata,0.13
BP06,172.9315383,-43.6225947,M. pyrifera,35.13
BP06,172.9315383,-43.6225947,U. pinnatifida,0
BP08,172.9813733,-43.6334183,C. flexuosum,0
BP08,172.9813733,-43.6334183,C. maschalocarpum,0.32
BP08,172.9813733,-43.6334183,E. radiata,4.49
BP08,172.9813733,-43.6334183,M. pyrifera,0.04
BP08,172.9813733,-43.6334183,U. pinnatifida,0.24
BP10,173.0244482,-43.6511925,C. flexuosum,0.31
BP10,173.0244482,-43.6511925,C. maschalocarpum,9.44
BP10,173.0244482,-43.6511925,E. radiata,0
BP10,173.0244482,-43.6511925,M. pyrifera,1.31
BP10,173.0244482,-43.6511925,U. pinnatifida,0
BP13,172.8010247,-43.5928866,C. flexuosum,0
BP13,172.8010247,-43.5928866,C. maschalocarpum,0
BP13,172.8010247,-43.5928866,E. radiata,26.25
BP13,172.8010247,-43.5928866,M. pyrifera,0
BP13,172.8010247,-43.5928866,U. pinnatifida,0
BP14,172.7947874,-43.5819055,C. flexuosum,0.19
BP14,172.7947874,-43.5819055,C. maschalocarpum,0.21
BP14,172.7947874,-43.5819055,E. radiata,17.76
BP14,172.7947874,-43.5819055,M. pyrifera,0.79
BP14,172.7947874,-43.5819055,U. pinnatifida,0
LH01,172.78884,-43.596058,C. flexuosum,0
LH01,172.78884,-43.596058,C. maschalocarpum,0
LH01,172.78884,-43.596058,E. radiata,11.88
LH01,172.78884,-43.596058,M. pyrifera,3
LH01,172.78884,-43.596058,U. pinnatifida,0.13
LH02,172.7641239,-43.5973972,C. flexuosum,0
LH02,172.7641239,-43.5973972,C. maschalocarpum,0
LH02,172.7641239,-43.5973972,E. radiata,31.88
LH02,172.7641239,-43.5973972,M. pyrifera,7.5
