SiteFrom,Date,Median
BP14,2002-07-01,NA
BP14,2002-08-01,0.6722291111946106
BP14,2002-09-01,0.9016370177268982
BP14,2002-10-01,0.3453260660171509
BP14,2002-11-01,0.31057319045066833
BP14,2002-12-01,0.5775124430656433
BP14,2003-01-01,NA
BP14,2003-02-01,0.5171673893928528
BP14,2003-03-01,0.33434973657131195
BP14,2003-04-01,NA
BP14,2003-05-01,0.8344531059265137
BP14,2003-06-01,NA
BP14,2003-07-01,0.4949668347835541
BP14,2003-08-01,NA
BP14,2003-09-01,0.6459910869598389
BP14,2003-10-01,0.5995790958404541
BP14,2003-11-01,NA
BP14,2003-12-01,NA
BP14,2004-01-01,NA
BP14,2004-02-01,0.6738278269767761
BP14,2004-03-01,0.37604600191116333
BP14,2004-04-01,0.33360400795936584
BP14,2004-05-01,NA
BP14,2004-06-01,NA
BP14,2004-07-01,0.8163111060857773
BP14,2004-08-01,NA
BP14,2004-09-01,0.6651578545570374
BP14,2004-10-01,0.5180248916149139
BP14,2004-11-01,0.3492882549762726
BP14,2004-12-01,0.42636555433273315
BP14,2005-01-01,0.6335910111665726
BP14,2005-02-01,0.5649685263633728
BP14,2005-03-01,0.6269649267196655
BP14,2005-04-01,0.7419809103012085
BP14,2005-05-01,NA
BP14,2005-06-01,NA
BP14,2005-07-01,0.2018415629863739
BP14,2005-08-01,0.3705264925956726
BP14,2005-09-01,0.6878162026405334
BP14,2005-10-01,0.5848048329353333
BP14,2005-11-01,0.33394166827201843
BP14,2005-12-01,0.33617764711380005
BP14,2006-01-01,0.4738529920578003
BP14,2006-02-01,0.7239334285259247
BP14,2006-03-01,0.4499207139015198
BP14,2006-04-01,0.6729544401168823
BP14,2006-05-01,NA
BP14,2006-06-01,0.6884914636611938
BP14,2006-07-01,NA
BP14,2006-08-01,NA
BP14,2006-09-01,0.47722944617271423
BP14,2006-10-01,NA
BP14,2006-11-01,NA
BP14,2006-12-01,0.3054910898208618
BP14,2007-01-01,0.3448518216609955
BP14,2007-02-01,0.30379846692085266
BP14,2007-03-01,1.222135066986084
BP14,2007-04-01,0.25208810716867447
BP14,2007-05-01,0.3803570717573166
BP14,2007-06-01,NA
BP14,2007-07-01,NA
BP14,2007-08-01,0.5499339699745178
BP14,2007-09-01,0.5508417338132858
BP14,2007-10-01,0.5249437987804413
BP14,2007-11-01,0.558761715888977
BP14,2007-12-01,0.3051719665527344
BP14,2008-01-01,0.2900104522705078
BP14,2008-02-01,NA
BP14,2008-03-01,0.3279600441455841
BP14,2008-04-01,0.3623587191104889
BP14,2008-05-01,0.43670007586479187
BP14,2008-06-01,NA
BP14,2008-07-01,NA
BP14,2008-08-01,0.443411260843277
BP14,2008-09-01,0.527931272983551
BP14,2008-10-01,0.31361347436904907
BP14,2008-11-01,NA
BP14,2008-12-01,0.7399903535842896
BP14,2009-01-01,NA
BP14,2009-02-01,0.7804420590400696
BP14,2009-03-01,0.6987231373786926
BP14,2009-04-01,0.6073147058486938
BP14,2009-05-01,NA
BP14,2009-06-01,1.1287903487682343
BP14,2009-07-01,NA
BP14,2009-08-01,0.24415692687034607
BP14,2009-09-01,0.7406840920448303
BP14,2009-10-01,0.5563882738351822
BP14,2009-11-01,0.26745834946632385
BP14,2009-12-01,0.35692518949508667
BP14,2010-01-01,NA
BP14,2010-02-01,0.5083327293395996
