SiteFrom,Date,Median
BP14,2015-01-01T02:08:19Z,NA
BP14,2015-01-01T03:12:28Z,NA
BP14,2015-01-02T01:39:50Z,NA
BP14,2015-01-02T02:44:00Z,NA
BP14,2015-01-03T01:11:22Z,NA
BP14,2015-01-03T03:19:41Z,NA
BP14,2015-01-04T02:51:12Z,NA
BP14,2015-01-04T04:59:31Z,NA
BP14,2015-01-05T01:18:34Z,NA
BP14,2015-01-05T03:26:53Z,NA
BP14,2015-01-06T01:54:15Z,NA
BP14,2015-01-06T02:58:25Z,NA
BP14,2015-01-07T01:25:46Z,NA
BP14,2015-01-07T03:34:06Z,NA
BP14,2015-01-08T02:01:27Z,NA
BP14,2015-01-08T03:05:37Z,NA
BP14,2015-01-09T01:32:59Z,NA
BP14,2015-01-09T02:37:08Z,0.313269704580307
BP14,2015-01-10T02:08:40Z,NA
BP14,2015-01-10T03:12:49Z,NA
BP14,2015-01-11T02:44:21Z,NA
BP14,2015-01-12T01:11:43Z,NA
BP14,2015-01-12T03:20:02Z,NA
BP14,2015-01-13T02:51:33Z,NA
BP14,2015-01-13T04:59:52Z,NA
BP14,2015-01-14T01:18:55Z,NA
BP14,2015-01-14T03:27:14Z,NA
BP14,2015-01-15T01:54:36Z,NA
BP14,2015-01-15T02:58:46Z,NA
BP14,2015-01-16T01:26:07Z,NA
BP14,2015-01-16T02:30:17Z,NA
BP14,2015-01-17T02:01:48Z,NA
BP14,2015-01-17T03:05:58Z,NA
BP14,2015-01-18T01:33:20Z,NA
BP14,2015-01-18T02:37:30Z,0.3417595624923706
BP14,2015-01-19T01:04:51Z,NA
BP14,2015-01-19T03:13:11Z,NA
BP14,2015-01-20T02:44:42Z,NA
BP14,2015-01-20T04:53:01Z,NA
BP14,2015-01-21T01:12:04Z,NA
BP14,2015-01-21T03:20:23Z,NA
BP14,2015-01-22T02:51:54Z,0.30907994508743286
BP14,2015-01-22T03:56:04Z,NA
BP14,2015-01-23T01:19:16Z,NA
BP14,2015-01-23T03:27:35Z,0.45000159740448
BP14,2015-01-24T01:54:57Z,NA
BP14,2015-01-24T02:59:07Z,NA
BP14,2015-01-25T01:26:29Z,NA
BP14,2015-01-25T02:30:38Z,NA
BP14,2015-01-26T02:02:10Z,NA
BP14,2015-01-26T03:06:19Z,NA
BP14,2015-01-27T02:37:51Z,NA
BP14,2015-01-28T01:05:12Z,NA
BP14,2015-01-28T03:13:32Z,NA
BP14,2015-01-29T02:45:03Z,NA
BP14,2015-01-29T04:53:22Z,NA
BP14,2015-01-30T01:12:25Z,NA
BP14,2015-01-30T03:20:44Z,NA
BP14,2015-01-31T02:52:15Z,NA
BP14,2015-01-31T03:56:25Z,NA
BP14,2015-02-01T01:19:37Z,NA
BP14,2015-02-01T02:23:47Z,NA
BP14,2015-02-02T01:55:18Z,NA
BP14,2015-02-02T02:59:28Z,NA
BP14,2015-02-03T01:26:50Z,NA
BP14,2015-02-03T02:30:59Z,NA
BP14,2015-02-04T00:58:21Z,NA
BP14,2015-02-04T03:06:40Z,NA
BP14,2015-02-05T02:38:12Z,NA
BP14,2015-02-05T04:46:31Z,NA
BP14,2015-02-06T01:05:33Z,NA
BP14,2015-02-06T03:13:53Z,NA
BP14,2015-02-07T02:45:24Z,0.42473140358924866
BP14,2015-02-07T03:49:34Z,NA
BP14,2015-02-08T01:12:46Z,NA
BP14,2015-02-08T03:21:05Z,NA
BP14,2015-02-09T02:52:37Z,NA
BP14,2015-02-09T03:56:46Z,NA
BP14,2015-02-10T01:19:58Z,NA
BP14,2015-02-10T02:24:08Z,0.28332123160362244
BP14,2015-02-11T02:59:49Z,NA
BP14,2015-02-12T02:31:20Z,0.3425300270318985
BP14,2015-02-13T00:58:42Z,NA
BP14,2015-02-13T03:07:01Z,NA
BP14,2015-02-14T02:38:33Z,NA
BP14,2015-02-14T04:46:52Z,NA
BP14,2015-02-15T01:05:55Z,NA
BP14,2015-02-15T03:14:14Z,NA
BP14,2015-02-16T02:45:45Z,0.5971243977546692
BP14,2015-02-16T03:49:55Z,NA
BP14,2015-02-17T01:13:07Z,NA
BP14,2015-02-17T02:17:17Z,0.34207117557525635
BP14,2015-02-18T02:52:58Z,NA
BP14,2015-02-18T03:57:07Z,NA
BP14,2015-02-19T01:20:19Z,NA
BP14,2015-02-19T02:24:29Z,NA
BP14,2015-02-20T00:51:51Z,NA
BP14,2015-02-20T03:00:10Z,NA
BP14,2015-02-21T02:31:41Z,NA
BP14,2015-02-21T04:40:01Z,NA
BP14,2015-02-22T00:59:03Z,NA
BP14,2015-02-22T03:07:22Z,NA
BP14,2015-02-23T02:38:54Z,0.3076861500740051
BP14,2015-02-23T03:43:03Z,NA
BP14,2015-02-24T01:06:16Z,NA
BP14,2015-02-24T03:14:35Z,NA
BP14,2015-02-25T02:46:06Z,NA
BP14,2015-02-25T03:50:16Z,NA
BP14,2015-02-26T01:13:28Z,NA
BP14,2015-02-26T02:17:38Z,NA
BP14,2015-02-27T02:53:19Z,0.3672415316104889
BP14,2015-02-27T03:57:28Z,NA
BP14,2015-02-28T02:24:50Z,NA
BP14,2015-03-01T00:52:12Z,NA
BP14,2015-03-01T03:00:31Z,NA
BP14,2015-03-02T02:32:03Z,NA
BP14,2015-03-02T04:40:22Z,NA
BP14,2015-03-03T00:59:24Z,NA
BP14,2015-03-03T03:07:44Z,NA
BP14,2015-03-04T02:39:15Z,0.2672153413295746
BP14,2015-03-04T03:43:25Z,NA
BP14,2015-03-05T01:06:37Z,NA
BP14,2015-03-05T02:10:46Z,0.23827359080314636
BP14,2015-03-06T02:46:27Z,NA
BP14,2015-03-06T03:50:37Z,NA
BP14,2015-03-07T01:13:49Z,NA
BP14,2015-03-07T02:17:59Z,NA
BP14,2015-03-08T01:49:30Z,NA
BP14,2015-03-08T03:57:49Z,NA
BP14,2015-03-09T02:25:11Z,0.5127281844615936
BP14,2015-03-09T04:33:30Z,NA
BP14,2015-03-10T00:52:33Z,NA
BP14,2015-03-10T03:00:52Z,NA
BP14,2015-03-11T02:32:24Z,0.34945979714393616
BP14,2015-03-11T03:36:33Z,NA
BP14,2015-03-12T00:59:45Z,NA
BP14,2015-03-12T03:08:05Z,NA
BP14,2015-03-13T02:39:36Z,0.5185794234275818
BP14,2015-03-13T03:43:46Z,NA
BP14,2015-03-14T01:06:58Z,NA
BP14,2015-03-14T02:11:07Z,NA
BP14,2015-03-15T02:46:48Z,NA
BP14,2015-03-15T03:50:58Z,NA
BP14,2015-03-16T02:18:20Z,NA
BP14,2015-03-17T01:49:51Z,NA
BP14,2015-03-17T03:58:11Z,NA
BP14,2015-03-18T02:25:32Z,0.6757031083106995
BP14,2015-03-18T04:33:52Z,NA
BP14,2015-03-19T00:52:54Z,NA
BP14,2015-03-19T03:01:13Z,NA
BP14,2015-03-20T02:32:45Z,NA
BP14,2015-03-20T03:36:54Z,NA
BP14,2015-03-21T01:00:07Z,NA
BP14,2015-03-21T02:04:16Z,NA
BP14,2015-03-22T02:39:57Z,NA
BP14,2015-03-22T03:44:07Z,NA
BP14,2015-03-23T01:07:19Z,NA
BP14,2015-03-23T02:11:29Z,NA
BP14,2015-03-24T01:43:00Z,NA
BP14,2015-03-24T03:51:19Z,NA
BP14,2015-03-25T02:18:41Z,NA
BP14,2015-03-25T04:27:00Z,NA
BP14,2015-03-26T01:50:12Z,NA
BP14,2015-03-26T03:58:32Z,NA
BP14,2015-03-27T02:25:53Z,NA
BP14,2015-03-27T03:30:03Z,NA
BP14,2015-03-28T00:53:15Z,NA
BP14,2015-03-28T03:01:34Z,NA
BP14,2015-03-29T02:33:06Z,NA
BP14,2015-03-29T03:37:15Z,NA
BP14,2015-03-30T01:00:28Z,NA
BP14,2015-03-30T02:04:37Z,NA
BP14,2015-03-31T02:40:18Z,NA
BP14,2015-03-31T03:44:28Z,NA
BP14,2015-04-01T02:11:50Z,NA
BP14,2015-04-02T01:43:21Z,NA
BP14,2015-04-02T03:51:40Z,NA
BP14,2015-04-03T02:19:02Z,0.26824069023132324
BP14,2015-04-03T04:27:21Z,NA
BP14,2015-04-04T00:46:24Z,NA
BP14,2015-04-04T02:54:43Z,NA
BP14,2015-04-05T02:26:15Z,NA
BP14,2015-04-05T03:30:24Z,NA
BP14,2015-04-06T00:53:36Z,NA
BP14,2015-04-06T01:57:46Z,NA
BP14,2015-04-07T02:33:27Z,NA
BP14,2015-04-07T03:37:37Z,NA
BP14,2015-04-08T01:00:49Z,NA
BP14,2015-04-08T02:04:58Z,NA
BP14,2015-04-09T01:36:30Z,NA
BP14,2015-04-09T03:44:49Z,NA
BP14,2015-04-10T02:12:11Z,NA
BP14,2015-04-10T04:20:30Z,NA
