Date,Site,SST
2002-07-01,BP01_s2,8.5649995803833
2002-07-01,BP02_s2,NA
2002-07-01,BP03_s2,NA
2002-07-01,BP05_s2,NA
2002-07-01,BP06_s2,8.6899995803833
2002-07-01,BP08_s2,NA
2002-07-01,BP10_s2,8.255000114440918
2002-07-01,BP13_s2,NA
2002-07-01,BP14_s2,NA
2002-07-01,LH01_s2,8.380000114440918
2002-07-01,LH02_s2,8.039999961853027
2002-07-01,LH07_s2,8.380000114440918
2002-07-01,LH10_s2,8.380000114440918
2002-07-01,PB02_s2,NA
2002-07-01,PB03_s2,NA
2002-07-01,PB10_s2,NA
2002-07-01,PB11_s2,NA
2002-07-01,PL02_s2,NA
2002-07-01,PL03_s2,NA
2002-07-01,PL14_s2,NA
2002-07-01,PL16_s2,NA
2002-08-01,BP01_s2,14.47597885131836
2002-08-01,BP02_s2,16.884273529052734
2002-08-01,BP03_s2,14.284967422485352
2002-08-01,BP05_s2,14.650446891784668
2002-08-01,BP06_s2,13.78857707977295
2002-08-01,BP08_s2,13.86793327331543
2002-08-01,BP10_s2,13.878207206726074
2002-08-01,BP13_s2,14.443050384521484
2002-08-01,BP14_s2,14.36673641204834
2002-08-01,LH01_s2,14.749217987060547
2002-08-01,LH02_s2,14.846574783325195
2002-08-01,LH07_s2,14.754253387451172
2002-08-01,LH10_s2,14.909276962280273
2002-08-01,PB02_s2,13.6899995803833
2002-08-01,PB03_s2,NA
2002-08-01,PB10_s2,NA
2002-08-01,PB11_s2,21.834999084472656
2002-08-01,PL02_s2,19.181364059448242
2002-08-01,PL03_s2,19
2002-08-01,PL14_s2,17.37218475341797
2002-08-01,PL16_s2,16.421918869018555
2002-09-01,BP01_s2,9.46500015258789
2002-09-01,BP02_s2,NA
2002-09-01,BP03_s2,9.380000114440918
2002-09-01,BP05_s2,9.769999504089355
2002-09-01,BP06_s2,9.835000038146973
2002-09-01,BP08_s2,9.0149993896484375
2002-09-01,BP10_s2,10.75
2002-09-01,BP13_s2,8.454999923706055
2002-09-01,BP14_s2,8.944999694824219
2002-09-01,LH01_s2,8.920000076293945
2002-09-01,LH02_s2,9.505000114440918
2002-09-01,LH07_s2,9.469999313354492
2002-09-01,LH10_s2,8.869999885559082
2002-09-01,PB02_s2,NA
2002-09-01,PB03_s2,NA
2002-09-01,PB10_s2,NA
2002-09-01,PB11_s2,NA
2002-09-01,PL02_s2,NA
2002-09-01,PL03_s2,NA
2002-09-01,PL14_s2,NA
2002-09-01,PL16_s2,NA
2002-10-01,BP01_s2,9.885000228881836
2002-10-01,BP02_s2,NA
2002-10-01,BP03_s2,10.22499942779541
2002-10-01,BP05_s2,10.144999504089355
2002-10-01,BP06_s2,10.170000076293945
2002-10-01,BP08_s2,10.425000190734863
2002-10-01,BP10_s2,10.774999618530273
2002-10-01,BP13_s2,NA
2002-10-01,BP14_s2,12.47499942779541
2002-10-01,LH01_s2,11.149999618530273
2002-10-01,LH02_s2,11.969999313354492
