SiteFrom,Date,Median
BP14,2002-07-01,NA
BP14,2002-08-01,15.631970405578613
BP14,2002-09-01,NA
BP14,2002-10-01,11.544999599456787
BP14,2002-11-01,13.114999771118164
BP14,2002-12-01,14.779999732971191
BP14,2003-01-01,16.512499809265137
BP14,2003-02-01,21.104999542236328
BP14,2003-03-01,19.32499885559082
BP14,2003-04-01,17.31999969482422
BP14,2003-05-01,NA
BP14,2003-06-01,14.144999504089355
BP14,2003-07-01,NA
BP14,2003-08-01,8.84749984741211
BP14,2003-09-01,NA
BP14,2003-10-01,11.545000076293945
BP14,2003-11-01,10.324999809265137
BP14,2003-12-01,15.397499561309814
BP14,2004-01-01,NA
BP14,2004-02-01,24.244998931884766
BP14,2004-03-01,18.594999313354492
BP14,2004-04-01,16.484999656677246
BP14,2004-05-01,15.34999942779541
BP14,2004-06-01,NA
BP14,2004-07-01,NA
BP14,2004-08-01,9.1274995803833
BP14,2004-09-01,NA
BP14,2004-10-01,11.774999618530273
BP14,2004-11-01,15.184999465942383
BP14,2004-12-01,15.764999866485596
BP14,2005-01-01,15.53499984741211
BP14,2005-02-01,21.420000076293945
BP14,2005-03-01,23.26999855041504
BP14,2005-04-01,17.969999313354492
BP14,2005-05-01,16.824999809265137
BP14,2005-06-01,NA
BP14,2005-07-01,NA
BP14,2005-08-01,9.029999732971191
BP14,2005-09-01,9.904999732971191
BP14,2005-10-01,12.829999923706055
BP14,2005-11-01,13.329999923706055
BP14,2005-12-01,16.837499618530273
BP14,2006-01-01,19.770000457763672
BP14,2006-02-01,19.46500015258789
BP14,2006-03-01,20.35999870300293
BP14,2006-04-01,16.625
BP14,2006-05-01,16.247499465942383
BP14,2006-06-01,NA
BP14,2006-07-01,9.024999618530273
BP14,2006-08-01,9.319999694824219
BP14,2006-09-01,10.40999984741211
BP14,2006-10-01,11.222499370574951
BP14,2006-11-01,14.184999942779541
BP14,2006-12-01,NA
BP14,2007-01-01,16.787500381469727
BP14,2007-02-01,15.96500015258789
BP14,2007-03-01,19.21749973297119
BP14,2007-04-01,19.994998931884766
BP14,2007-05-01,15.0649995803833
BP14,2007-06-01,15.299999237060547
BP14,2007-07-01,NA
BP14,2007-08-01,NA
BP14,2007-09-01,11.429999351501465
BP14,2007-10-01,10.795000076293945
BP14,2007-11-01,15.144999504089355
BP14,2007-12-01,18.112500190734863
BP14,2008-01-01,17.125
BP14,2008-02-01,19.520000457763672
BP14,2008-03-01,NA
BP14,2008-04-01,20.299999237060547
BP14,2008-05-01,NA
BP14,2008-06-01,12.987499713897705
BP14,2008-07-01,NA
BP14,2008-08-01,NA
BP14,2008-09-01,9.130000114440918
BP14,2008-10-01,NA
BP14,2008-11-01,13.03499984741211
BP14,2008-12-01,NA
BP14,2009-01-01,17.69999885559082
BP14,2009-02-01,NA
BP14,2009-03-01,20.809999465942383
BP14,2009-04-01,19.09749984741211
BP14,2009-05-01,17.184999465942383
BP14,2009-06-01,10.300000190734863
BP14,2009-07-01,10.03499984741211
BP14,2009-08-01,NA
BP14,2009-09-01,10.844999313354492
BP14,2009-10-01,11.59999942779541
BP14,2009-11-01,11.554999351501465
BP14,2009-12-01,NA
BP14,2010-01-01,15.585000038146973
BP14,2010-02-01,NA
BP14,2010-03-01,19.142499923706055
BP14,2010-04-01,20.30500030517578
BP14,2010-05-01,16.079999923706055
BP14,2010-06-01,13.739999771118164
BP14,2010-07-01,NA
BP14,2010-08-01,9.345000267028809
BP14,2010-09-01,11.019999504089355
BP14,2010-10-01,NA
BP14,2010-11-01,15.179999351501465
BP14,2010-12-01,17.940000534057617
BP14,2011-01-01,17.344999313354492
BP14,2011-02-01,19.184999465942383
BP14,2011-03-01,20.049999237060547
BP14,2011-04-01,NA
BP14,2011-05-01,NA
BP14,2011-06-01,13.449999809265137
BP14,2011-07-01,NA
BP14,2011-08-01,10.179999351501465
BP14,2011-09-01,10.6899995803833
BP14,2011-10-01,10.75
BP14,2011-11-01,11.519999504089355
BP14,2011-12-01,13.229999542236328
BP14,2012-01-01,NA
BP14,2012-02-01,NA
BP14,2012-03-01,18.614999771118164
BP14,2012-04-01,18.100000381469727
BP14,2012-05-01,17.10999870300293
BP14,2012-06-01,NA
BP14,2012-07-01,NA
BP14,2012-08-01,9.510000228881836
BP14,2012-09-01,10.625
BP14,2012-10-01,11.75999927520752
BP14,2012-11-01,NA
BP14,2012-12-01,14
BP14,2013-01-01,NA
BP14,2013-02-01,18.777499198913574
BP14,2013-03-01,19.75999927520752
BP14,2013-04-01,20.91499900817871
BP14,2013-05-01,17.600000381469727
BP14,2013-06-01,NA
BP14,2013-07-01,NA
BP14,2013-08-01,9.96999979019165
BP14,2013-09-01,NA
BP14,2013-10-01,11.72499942779541
BP14,2013-11-01,14.342499732971191
BP14,2013-12-01,NA
BP14,2014-01-01,18.1875
BP14,2014-02-01,20.114999771118164
BP14,2014-03-01,19.139999389648438
BP14,2014-04-01,17.114999771118164
BP14,2014-05-01,13.217499732971191
BP14,2014-06-01,13.049999237060547
BP14,2014-07-01,10.4399995803833
BP14,2014-08-01,11.059999465942383
BP14,2014-09-01,NA
BP14,2014-10-01,12.62999963760376
BP14,2014-11-01,12.984999656677246
BP14,2014-12-01,17.904998779296875
BP14,2015-01-01,NA
BP14,2015-02-01,21.049999237060547
BP14,2015-03-01,19.50749969482422
BP14,2015-04-01,19.684999465942383
BP14,2015-05-01,NA
BP14,2015-06-01,13.289999961853027
BP14,2015-07-01,NA
BP14,2015-08-01,NA
BP14,2015-09-01,NA
BP14,2015-10-01,9.789999961853027
BP14,2015-11-01,11.384999752044678
BP14,2015-12-01,15.22499942779541
BP14,2016-01-01,19.712499618530273
BP14,2016-02-01,NA
BP14,2016-03-01,21.26749897003174
BP14,2016-04-01,20.09000015258789
BP14,2016-05-01,16.0600004196167
BP14,2016-06-01,NA
BP14,2016-07-01,NA
BP14,2016-08-01,NA
BP14,2016-09-01,NA
BP14,2016-10-01,NA
BP14,2016-11-01,NA
BP14,2016-12-01,16.989999771118164
BP14,2017-01-01,NA
BP14,2017-02-01,NA
BP14,2017-03-01,21.510000228881836
BP14,2017-04-01,20.28999900817871
BP14,2017-05-01,15.059999465942383
BP14,2017-06-01,NA
BP14,2017-07-01,NA
BP14,2017-08-01,NA
BP14,2017-09-01,10.66499948501587
BP14,2017-10-01,10.014999389648437
