t,Severity,ratio
2017-10-01,S1,0.21478426395939088
2017-10-01,S2,0.018189509306260575
2017-10-02,S1,0.19691201353637902
2017-10-02,S2,0.018083756345177664
2017-10-03,S1,0.19342216582064298
2017-10-03,S2,0.01660321489001692
2017-10-04,S1,0.1773477157360406
2017-10-04,S2,0.013853637901861253
2017-10-05,S1,0.14276649746192893
2017-10-05,S2,0.011950084602368866
2017-10-06,S1,0.1352580372250423
2017-10-06,S2,0.012478849407783418
2017-10-07,S1,0.14911167512690354
2017-10-07,S2,0.0133248730964467
2017-10-08,S1,0.1885575296108291
2017-10-08,S2,0.01670896785109983
2017-10-09,S1,0.21340947546531303
2017-10-09,S2,0.022313874788494076
2017-10-10,S1,0.2049492385786802
2017-10-10,S2,0.020516074450084604
2017-10-11,S1,0.22091793570219967
2017-10-11,S2,0.021256345177664976
2017-10-12,S1,0.2140439932318105
2017-10-12,S2,0.022208121827411168
2017-10-13,S1,0.21637055837563451
2017-10-13,S2,0.01998730964467005
2017-10-14,S1,0.20050761421319796
2017-10-14,S2,0.01924703891708968
2017-10-15,S1,0.1964890016920474
2017-10-15,S2,0.020833333333333332
2017-10-16,S1,0.19236463620981387
2017-10-16,S2,0.025063451776649745
2017-10-17,S1,0.19955583756345177
2017-10-17,S2,0.026755499153976313
2017-10-18,S1,0.2121404399323181
2017-10-18,S2,0.028236040609137057
2017-10-19,S1,0.23804991539763112
2017-10-19,S2,0.03341793570219966
2017-10-20,S1,0.22715736040609136
2017-10-20,S2,0.028659052453468697
2017-10-21,S1,0.202834179357022
2017-10-21,S2,0.023265651438240272
2017-10-22,S1,0.17671319796954316
2017-10-22,S2,0.021150592216582064
2017-10-23,S1,0.15704314720812182
2017-10-23,S2,0.01988155668358714
2017-10-24,S1,0.15746615905245348
2017-10-24,S2,0.018189509306260575
2017-10-25,S1,0.1567258883248731
2017-10-25,S2,0.01596869712351946
2017-10-26,S1,0.16867597292724196
2017-10-26,S2,0.020516074450084604
2017-10-27,S1,0.20653553299492386
2017-10-27,S2,0.024957698815566837
2017-10-28,S1,0.25074027072758037
2017-10-28,S2,0.032148900169204735
2017-10-29,S1,0.3293147208121827
2017-10-29,S2,0.043993231810490696
2017-10-30,S1,0.43950930626057527
2017-10-30,S2,0.061865482233502536
2017-10-31,S1,0.4938663282571912
2017-10-31,S2,0.07561336717428088
2017-11-01,S1,0.5178722504230119
2017-11-01,S2,0.09073604060913705
2017-11-02,S1,0.5237944162436549
2017-11-02,S2,0.10035956006768189
2017-11-03,S1,0.4473350253807107
2017-11-03,S2,0.08439086294416244
2017-11-04,S1,0.32339255499153974
2017-11-04,S2,0.05266497461928934
2017-11-05,S1,0.23730964467005075
2017-11-05,S2,0.03563874788494078
2017-11-06,S1,0.17988578680203046
2017-11-06,S2,0.020410321489001692
2017-11-07,S1,0.13684433164128595
2017-11-07,S2,0.013747884940778343
2017-11-08,S1,0.09644670050761421
2017-11-08,S2,0.0075084602368866325
2017-11-09,S1,0.10427241962774958
2017-11-09,S2,0.006450930626057529
2017-11-10,S1,0.09919627749576988
2017-11-10,S2,0.008671742808798646
2017-11-11,S1,0.08851522842639593
2017-11-11,S2,0.008037225042301184
2017-11-12,S1,0.09792724196277496
2017-11-12,S2,0.008354483925549916
2017-11-13,S1,0.13779610829103214
2017-11-13,S2,0.011209813874788494
2017-11-14,S1,0.16560913705583757
2017-11-14,S2,0.012055837563451776
2017-11-15,S1,0.1988155668358714
2017-11-15,S2,0.015334179357021997
2017-11-16,S1,0.25793147208121825
2017-11-16,S2,0.021785109983079528
2017-11-17,S1,0.2539128595600677
2017-11-17,S2,0.037859560067681895
2017-11-18,S1,0.2539128595600677
2017-11-18,S2,0.05213620981387479
2017-11-19,S1,0.2620558375634518
2017-11-19,S2,0.0727580372250423
2017-11-20,S1,0.27749576988155666
2017-11-20,S2,0.07836294416243655
2017-11-21,S1,0.3015016920473773
2017-11-21,S2,0.08428510998307953
2017-11-22,S1,0.3374576988155668
2017-11-22,S2,0.0942258883248731
2017-11-23,S1,0.378489847715736
2017-11-23,S2,0.10839678510998307
2017-11-24,S1,0.39720812182741116
2017-11-24,S2,0.14287225042301185
2017-11-25,S1,0.42100253807106597
2017-11-25,S2,0.20642978003384094
2017-11-26,S1,0.48403130287648055
2017-11-26,S2,0.25539340101522845
2017-11-27,S1,0.5534052453468697
2017-11-27,S2,0.27390016920473775
2017-11-28,S1,0.5938028764805414
2017-11-28,S2,0.31567258883248733
2017-11-29,S1,0.6272208121827412
2017-11-29,S2,0.35607021996615906
2017-11-30,S1,0.6504864636209814
2017-11-30,S2,0.3759517766497462
2017-12-01,S1,0.6491116751269036
2017-12-01,S2,0.38578680203045684
2017-12-02,S1,0.6441412859560067
2017-12-02,S2,0.38853637901861254
2017-12-03,S1,0.6460448392554992
2017-12-03,S2,0.3946700507614213
2017-12-04,S1,0.6343062605752962
2017-12-04,S2,0.40598561759729274
2017-12-05,S1,0.6411802030456852
2017-12-05,S2,0.4188874788494078
2017-12-06,S1,0.6496404399323181
2017-12-06,S2,0.41846446700507617
2017-12-07,S1,0.6940566835871405
2017-12-07,S2,0.41941624365482233
2017-12-08,S1,0.7274746192893401
2017-12-08,S2,0.42375211505922167
2017-12-09,S1,0.6982868020304569
2017-12-09,S2,0.4086294416243655
2017-12-10,S1,0.6466793570219966
2017-12-10,S2,0.39202622673434856
2017-12-11,S1,0.6172800338409475
2017-12-11,S2,0.39318950930626057
2017-12-12,S1,0.6059644670050761
2017-12-12,S2,0.39096869712351945
2017-12-13,S1,0.6198181049069373
2017-12-13,S2,0.38049915397631134
2017-12-14,S1,0.6263747884940778
2017-12-14,S2,0.37256768189509304
2017-12-15,S1,0.629758883248731
2017-12-15,S2,0.38917089678510997
2017-12-16,S1,0.633248730964467
2017-12-16,S2,0.3904399323181049
2017-12-17,S1,0.6065989847715736
2017-12-17,S2,0.3895939086294416
2017-12-18,S1,0.5931683587140439
2017-12-18,S2,0.35797377326565144
2017-12-19,S1,0.5582698815566836
2017-12-19,S2,0.2932529610829103
2017-12-20,S1,0.550761421319797
2017-12-20,S2,0.27506345177664976
2017-12-21,S1,0.5699027072758037
2017-12-21,S2,0.2847927241962775
2017-12-22,S1,0.6056472081218274
2017-12-22,S2,0.30372250423011843
2017-12-23,S1,0.6560913705583756
2017-12-23,S2,0.33481387478849406
2017-12-24,S1,0.6878172588832487
2017-12-24,S2,0.35628172588832485
2017-12-25,S1,0.6535532994923858
2017-12-25,S2,0.3277284263959391
2017-12-26,S1,0.6207698815566836
2017-12-26,S2,0.2956852791878173
2017-12-27,S1,0.648582910321489
2017-12-27,S2,0.2888113367174281
2017-12-28,S1,0.69331641285956
2017-12-28,S2,0.2986463620981388
2017-12-29,S1,0.6986040609137056
2017-12-29,S2,0.3102791878172589
2017-12-30,S1,0.6729060913705583
2017-12-30,S2,0.3032994923857868
2017-12-31,S1,0.6997673434856176
2017-12-31,S2,0.3239213197969543
2018-01-01,S1,0.7359348561759729
2018-01-01,S2,0.38747884940778343
2018-01-02,S1,0.7807741116751269
2018-01-02,S2,0.44532571912013535
2018-01-03,S1,0.7976945854483926
2018-01-03,S2,0.4720812182741117
2018-01-04,S1,0.7901861252115059
2018-01-04,S2,0.44521996615905246
2018-01-05,S1,0.6813663282571912
2018-01-05,S2,0.36601099830795264
2018-01-06,S1,0.6365270727580372
2018-01-06,S2,0.3043570219966159
2018-01-07,S1,0.6370558375634517
2018-01-07,S2,0.2906091370558376
2018-01-08,S1,0.6658206429780034
2018-01-08,S2,0.3056260575296108
2018-01-09,S1,0.7104483925549916
2018-01-09,S2,0.33661167512690354
2018-01-10,S1,0.7081218274111675
2018-01-10,S2,0.3378807106598985
2018-01-11,S1,0.7134094754653131
2018-01-11,S2,0.3403130287648054
2018-01-12,S1,0.7024111675126904
2018-01-12,S2,0.32899746192893403
2018-01-13,S1,0.6984983079526227
2018-01-13,S2,0.3183164128595601
2018-01-14,S1,0.6817893401015228
2018-01-14,S2,0.3240270727580372
2018-01-15,S1,0.6689932318104906
